"DJ.Khaled","Jay.Z","Future","Drake","Nas","Big.Sean","Kendrick.Lamar","J.Cole","Bryston.Tiller","Chris.Brown","Rick.Ross","Jeezy","Jadakiss","Busta.Rhymes","Ken.Jones","Travis.Scott","Mavado","All.others","word"
0,7,9,1,2,4,1,0,0,4,1,2,5,1,2,1,0,14,"aint"
10,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,"another"
0,0,0,2,0,0,0,3,0,0,0,0,1,1,0,0,0,1,"ask"
0,1,49,0,1,1,0,0,0,14,0,0,0,0,1,0,0,7,"baby"
0,1,1,2,1,1,1,1,0,0,1,0,2,0,1,1,0,4,"back"
0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,0,3,"beat"
0,0,4,0,0,0,0,6,0,2,0,0,1,2,0,0,0,3,"better"
0,0,1,0,0,4,0,0,0,0,0,2,0,0,1,6,0,4,"bitch"
0,0,7,0,0,0,1,0,2,0,1,0,0,0,0,5,0,4,"bitches"
0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,"boy"
1,0,0,0,0,2,0,0,0,0,0,2,1,0,1,1,0,19,"call"
0,0,2,1,1,0,0,2,2,0,0,0,0,0,2,0,0,12,"can"
0,0,0,1,0,0,1,3,0,0,0,1,1,1,2,0,2,5,"cause"
0,0,1,0,1,4,1,0,0,0,1,0,0,0,0,13,1,7,"come"
0,0,4,3,0,4,0,0,0,0,0,0,0,0,2,0,0,3,"even"
1,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,4,"ever"
0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,"every"
0,0,1,0,0,23,4,0,2,0,0,0,1,1,0,0,0,0,"everything"
0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,14,3,2,"feel"
0,0,0,0,1,4,0,0,0,0,1,1,1,0,0,0,0,3,"first"
1,1,0,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,"free"
1,1,48,4,0,4,2,2,0,0,0,3,1,2,2,0,0,5,"fuck"
0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,2,"good"
0,0,0,1,0,2,0,0,0,0,0,8,1,0,2,0,0,4,"gotta"
2,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,"ima"
0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,"keep"
6,2,1,0,9,4,0,0,0,0,0,0,1,0,0,0,0,3,"key"
12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"khaled"
1,2,7,7,0,5,0,1,0,36,0,1,0,1,1,0,3,17,"know"
0,0,0,3,1,0,0,0,4,0,0,0,1,1,0,0,0,1,"last"
0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,2,8,"let"
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,"lets"
0,7,1,0,0,2,2,0,0,0,0,0,0,0,0,0,7,0,"life"
0,8,4,2,7,6,3,3,0,0,0,2,0,5,2,4,4,15,"like"
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,"like im"
0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,2,0,1,"little"
0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,1,2,0,"lot"
0,0,0,1,0,1,1,0,4,0,0,4,2,1,0,0,0,3,"love"
2,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,5,"major"
0,0,0,1,0,25,0,0,0,0,0,0,0,3,1,0,0,10,"make"
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,"man"
0,0,0,1,0,1,0,1,0,53,0,3,0,0,0,0,0,9,"mind"
0,0,1,0,0,0,1,0,2,0,1,0,1,2,0,0,0,6,"money"
0,0,0,1,1,1,2,0,0,0,0,0,2,0,0,0,0,5,"need"
1,0,1,2,1,2,0,1,0,0,1,3,3,0,1,0,0,6,"never"
0,0,2,0,1,2,0,0,2,0,1,3,0,1,1,0,0,4,"new"
0,4,1,0,0,0,1,0,0,0,5,4,1,3,0,11,1,14,"nigga"
0,4,1,0,5,1,0,2,6,0,0,6,0,6,3,2,0,4,"niggas"
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,"night"
1,1,3,3,2,2,1,1,0,0,1,0,1,4,0,0,2,8,"now"
11,5,1,2,0,2,1,0,10,4,0,3,0,1,0,0,0,2,"one"
1,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,4,"play"
0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,2,"pop"
0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,"put"
0,4,0,1,0,2,0,0,0,0,0,3,2,0,0,0,1,2,"real"
0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,"reason"
0,2,0,4,0,2,0,0,1,0,0,0,0,0,1,0,0,8,"right"
0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,"run"
0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"said"
0,0,0,0,0,1,1,4,0,0,0,1,0,0,1,0,1,2,"say"
1,0,0,0,2,0,2,2,8,0,1,3,2,0,1,0,2,8,"see"
0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,"seen"
2,0,1,0,1,4,0,2,2,0,0,0,1,2,0,0,0,8,"shit"
0,0,0,0,2,2,0,1,0,0,0,0,0,0,3,0,0,1,"start"
0,1,1,1,4,8,0,0,0,0,2,0,0,0,2,1,0,3,"still"
0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,4,"take"
0,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8,"talk"
0,0,2,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,"talkin"
0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,7,"tell"
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2,"thing"
0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,"think"
3,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,7,"time"
0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,"told"
0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,2,"try"
0,0,0,1,0,0,0,0,2,4,0,1,1,0,2,0,0,8,"tryna"
3,0,6,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,"want"
0,0,0,0,0,2,0,1,4,0,0,0,1,0,0,0,0,3,"way"
0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,4,"wont"
0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,2,"work"
